time,bus_voltage
2019-09-20 15:17:03.405083,9.696
2019-09-20 15:22:03.507365,9.696
2019-09-20 15:27:03.609648,9.692
2019-09-20 15:32:03.643239,9.688
2019-09-20 15:37:03.745524,9.684
2019-09-20 15:42:03.847766,9.676
2019-09-20 15:47:03.950095,9.676
2019-09-20 15:52:04.052357,9.672
2019-09-20 15:57:04.154629,9.664
2019-09-20 16:02:04.256902,9.656
2019-09-20 16:07:04.359150,9.656
2019-09-20 16:12:04.461407,9.652
2019-09-20 16:17:04.563682,9.652
2019-09-20 16:22:04.665946,9.648
2019-09-20 16:27:04.705177,9.64
2019-09-20 16:32:04.807461,9.648
2019-09-20 16:37:04.909747,9.636
2019-09-20 16:42:05.012009,9.64
2019-09-20 16:47:05.114264,9.628
2019-09-20 16:52:05.216528,9.632
2019-09-20 16:57:05.318868,9.632
2019-09-20 17:02:05.421128,9.62
2019-09-20 17:07:05.523382,9.624
2019-09-20 17:12:05.625637,9.616
2019-09-20 17:17:05.727900,9.612
2019-09-20 17:22:05.830233,9.608
2019-09-20 17:27:05.932489,9.608
2019-09-20 17:32:06.034747,9.604
2019-09-20 17:37:06.137002,9.596
2019-09-20 17:42:06.239263,9.6
2019-09-20 17:47:06.341507,9.588
2019-09-20 17:52:06.443753,9.588
2019-09-20 17:57:06.546034,9.584
2019-09-20 18:02:06.648309,9.584
2019-09-20 18:07:06.750701,9.58
2019-09-20 18:12:06.852960,9.572
2019-09-20 18:17:06.955246,9.572
2019-09-20 18:22:07.057507,9.564
2019-09-20 18:27:07.159749,9.56
2019-09-20 18:32:07.261981,9.556
2019-09-20 18:37:07.364261,9.556
2019-09-20 18:42:07.466536,9.548
2019-09-20 18:47:07.568899,9.54
2019-09-20 18:52:07.671186,9.544
2019-09-20 18:57:07.773462,9.528
2019-09-20 19:02:07.780265,9.528
2019-09-20 19:07:07.882530,9.524
2019-09-20 19:12:07.984794,9.516
2019-09-20 19:17:08.087074,9.512
2019-09-20 19:22:08.189348,9.508
2019-09-20 19:27:08.291619,9.512
2019-09-20 19:32:08.393903,9.504
2019-09-20 19:37:08.404185,9.492
2019-09-20 19:42:08.506463,9.488
2019-09-20 19:47:08.608833,9.488
2019-09-20 19:52:08.705347,9.484
2019-09-20 19:57:08.807628,9.484
2019-09-20 20:02:08.909985,9.472
2019-09-20 20:07:09.012244,9.464
2019-09-20 20:12:09.114525,9.46
2019-09-20 20:17:09.216809,9.456
2019-09-20 20:22:09.319076,9.448
2019-09-20 20:27:09.421351,9.452
2019-09-20 20:32:09.523607,9.444
2019-09-20 20:37:09.625863,9.436
2019-09-20 20:42:09.728111,9.432
2019-09-20 20:47:09.830484,9.428
2019-09-20 20:52:09.932742,9.416
2019-09-20 20:57:10.035092,9.408
2019-09-20 21:02:10.062009,9.396
2019-09-20 21:07:10.164302,9.396
2019-09-20 21:12:10.266565,9.384
2019-09-20 21:17:10.368914,9.372
2019-09-20 21:22:10.471177,9.364
2019-09-20 21:27:10.573450,9.352
2019-09-20 21:32:10.675721,9.336
2019-09-20 21:37:10.777979,9.328
2019-09-20 21:42:10.880387,9.308
2019-09-20 21:47:10.982662,9.292
2019-09-20 21:52:11.084907,9.26
2019-09-20 21:57:11.187158,9.216
2019-09-20 22:02:11.289408,9.148
2019-09-20 22:07:11.391654,9.008
2019-09-20 22:12:11.493917,8.768
2019-09-20 22:17:11.596170,8.312
2019-09-20 22:22:11.698426,7.3
